47807551,880036843948,Edgardo Ortiz,120
47394229,888492615408,Miguel Araya,150
47010161,888817915585,Matías Orellana,90
47809561,891267499712,Ana Pérez,135
47394230,895103672848,Daniel Rodríguez,110
47010162,897640581259,Edgardo Ortiz,180
47807552,899084742176,Edgardo Ortiz,200
47394231,901567842431,Edgardo Ortiz,95
47010163,903091254785,Edgardo Ortiz,140
47807553,905411249356,Edgardo Ortiz,170
47394232,907830146981,Miguel Araya,160
47010164,910172380417,Miguel Araya,130
47807554,912507583210,Miguel Araya,115
47394233,914821460035,Miguel Araya,125
47010165,917145237085,Miguel Araya,145
